OE_Response,Junk 
bought prime sale love use apple product simplicity using device thought updating x x max lakh india device xr bang buck prime day deal sweet surprise operation touch response silky smooth dual sim esim work like charm rear camera awesome face detection ai bookeh portrait mode screen resolution good crisp without pixel issue lack touch apple incorporated taptic engine updated replace touch functionality eventually though present limited apps good notch area though ok manage overall nice update,no
received product next day packaging good cellphone box cover thing phone working fine time apps automatically close bit confused genuine product would suggest people buy amazon go nearest store buy,no
dont get swayed lame reviewer youtube u r holding device purchase real deal xr jack trade although excelling bionic beastnuff said already stereo speaker sound sweet battery life great found bashed lcd display pragmatic everyday usethe portrait shot taken camera look stunnerwith reason price cut turned vfm device ever made,no
received product yesterday product look perfectly awesome,no
excellent phone using since month problem classy product bought diwali sale k excellent battery backup lasting day mind heavy user excellent photo siri work well issue faced must go chinese product price segment,no
device working since opened box apple support little help amazon taking return asking report apple chase apple get report nightmare start buy amazon,no
many pro phone must already aware would like point con,no
face id front camera portrait mode isnt working month purchase must problem true depth sensor city imphal apple servicing centre doesnt allow take servicing tell go guwahati assam problem may coincidence problem happened used amazon basic w fast wireless charger combine xiaomi quick charge,no
using device since last three year switching device xr following thing impressed,no
camera superb,no
bought device xr october amazon great indian festival deep discount r discount applied wow deal thank amazon,no
nothing beat device fourth phone device se device device purchased amazon excellent phone except screen resolution device xr nothing less x x max fact battery life twice device face recognition excellent even dark android phone lack technology white beautiful color delivery scheduled deadline good external packing,no
bit worried authenticity buying device online unknown seller paying huge amount took risk would say amazon seller done wonderful job checked product apple website genuine product year warrantydevice device best processorcamera good battery life good gaming regular update apple,no
io,no
awesome mobile overall really good hat apple provide kinda awesome product,no
device xr go blank next day,no
sceptical first received phone good mint condition upgrading device worth device year old lagging took leap camera like android phone chinese lens think battery life soothing face recognition like butter dont know happen future best part upgrading screen size totally worth video bit dull cost worth thank amazon sending duplicate phone,no
well buying device never switching back android,no
two month phone got destroyed screen filled water ip certification nil bloody io,no
battery quality worst honor c give day backup phone last hour medium usage fast charger take tradatitional hour full charging u want waste money go u r brand conscious buy brand phone much better configuration almost half price,no
earpods lightning cable connector box call minute blank callnot even bip kindly give suggestion rectify,no
got k prime early access one best purchase value money considered io future release might make even snappier battery consumption efficiency played wow blitz fps found issue post pubg fortnite review day battery back hr screen time apps usage scenario,no
ordered phone diwali offer phone got first display issue got replacement thatmy previous phone device plus one week using phone honest review firstly phone excellent battery life average use battery last day easily although charging take time ie hour used device home button im feeling bit uncomfortable phone home button swipe every time bottom top unlock phone finger print sensor bit difficult unlock ur bed u put ur face front phone face id reach ability issue u use one handed especially using facebook u swipe bottom line make ur finger reach top screen clicking option display screen bit device plus phone satisfactory,no
good k price got phone phone wasnt worth k launched k justifies,no
bought prime sale aside discount bought paying k,no
latest offering phone simply great camera superb glass back look ultra premium though would suggest get back protective case glass fragile got white pay extra look best white spending phone whats get best,no
fantastic mobile nicely integrated hardware software nothing ever come close apple product smooth touch lag face identification work well camera good battery last hour moderate usage superb audio video quality io update always smooth apps wonderfulamazon delivery dot offer available authorized reseller store happens around time apple launch new version device,no
device sim card slot working right beginning,no
dude confused first one buy oneplus pro device xr choosen xr k offer every thing ia good dissapointed tha camera quality display quality really device plus also display far far better xr camera also better know device plus dual camera thats ok dude detailing missing also zooming also missing get digital zoom reduces tha quality,no
initial review said device xr best device people right thought havent changed six month later still best device market offering smooth terrific user experience expensive device x x max knowledge youre also getting best battery life fact battery life par better p pro galaxy offer thats saying something,no
facing cellular network issue every new update per understanding hardware compatible o,no
purchased apple device xr gb black use,no
got great indian festival r great value price,no
receiver failer problem,no
first device till date android user believe get phone wont switch away,no
device xr still great buy price v performance ratio phone make sensible buy dont care latest greatest one year old offering apple far better buy side phone follows,no
never thought purchasing xr couldnt stop saw deal taken sudden decision bought much worried till delivery suspecting product would refurbished duplicate amazon kept thier commitment received brand new orginal device,no
first face id crazy fast accurate even pitch darkness phone fast smooth dont feel like gb ram handle anything without hitch phone feel premium time delicate backside glassas know glass glass glass break picture taken camera good lack night scape sort thing con overall phone great although side bezel thick get used lcd screen lack anything compared oled day day usage stop thinking thing using daily,no
looking upgrade device confused device device xr decided go device xr cost perspective camera processor pov upgrade device rest remains,no
bought k sale,no
using device plus single time ever experience phone heating even extensive usage piece however heat extent making uncomfortable hold use less min work fine usage beyond make hot top brightness level set max becomes iron boxpun intended expected apple device,no
screen slight dot bottom noticed fixing guard come mfr defect apple certainly fix doesnt seem serious take apple still warranty know update,no
got gb model since device almost always run space never option sd card like android device,no
overall product good face id liquid retina one thing surely standout surrounding speaker really goodas per experience got impressed work put speaker sound loud clear,no
device addict first device brother gifted time upgraded xr salary n really happy specially battery life dont use camera much potrait mode much use face id recognition nice though u dont get feel holding device little bit big bulky side compared device rest fuctioning everything smooth think worth purchase u device go upgrade lot research x xr almost similar except feature,no
less stuck io platform iwatch since love functionality upgraded yr old device actually waiting price drop post september year amazon came unbelievable prime deal couldnt resist,no
easy use serf purpose android guy like last year using blackberry switched io used device c time bit disappointed may quite young bit techie use phone basic purpose like call whats app email social medium n bit gaming n music really handle well though bit hesitant first used finger touch sensor seriously face recognition damn good work like charm even light want nonsense stuff n suit requirement go day even droids equally expensive infact expensive like fold razr etc listen heart buy io android wont go wrong though got mine offer gb variant,no
purchased phone friend happy performance phone camera quality feature industry standard anyone refraining buying device single sim slot please informed phone support dual sim use esim airtel jio esim facility detailed review visit review website excitedneuronsdotcom,no
awesome product far better spending almost double x x max difference display camera otherwise everything would definitely bigger upgrade anyone switching device entire ui different icing cake privacy utmost priority apple seems without face id nobody see even notification must buy product,no
still dont understand people crazy device bough phone k great indian sale couldnt find much difference week old android operation faster detected face quickly fingerprint support also also crazy phone friend told never go back android thats one reason buy phone let wait one month become addicted till ill leave rating think phone expensive thats proving phone royal customer p go affordable,no
received product manufacturing defect screen led bleeding problem contacted service team apple ready replace,no
device xr far best apple provide recent year doubt right camera horsepower battery backup everything top notch,no
bought xr came read article saw video review said real difference phone camera negligible worth price difference,no
ive using device xr month far everythings hunkydory,no
thanks amazon giving great deal device xr gb absolutely fantastic good battery life camera performance since month waiting upgrade compare xr bit bigger screen size apart great device use thanks seller year back got seller still work pretty well without issue,no
love phone especially since wanted long time would recommend apple owner looking become device ownerscamera quality amazing able activate esim without hazzels reason switched old phone forsize concern initially since accustomed device se lightning cable disadvantage phone charging point n headset point knew getting got used,no
believe firmly best affordable phone apple ever made,no
battery life surely amaze buyer use charge device plus percent office returning pm used approx percent remaining use phone basic task pubg break xr came hand first day forgot charge phone percent took office percent amazingly percent charge leaving office even played evoground match pubg day break dream long lasting io enabled device came true spectacular device one blindly go performance battery huge concern,no
wow wow apple device xr look amazing stunning white colour thanks amazon giving best price market love amazon quick delivery packaging great secure packaging come phone year using device used device coming back android phone io make mee feel happy phone beast go,no
always device user till thought changing note loved phone period time started realising nothing like io device using two high end android keep changing phone witched back device omg must say even become better smooth like butter pan device x r beauty liquid retina awesome beautiful make miss oled also battery back woooowww first ever phone bought thru amazon skptical thought taking risk yes amazon delivered promised thru freedom sale got good deal gb everyday fall love phone,no
inch screen phone pretty good feel heavy pale comparison actual feature phone unlockedi informed phone tracked even switched per new io update camera quality better front back fast charging great like idea body aluminium made compared latest checking reviewing hold better drop test face id recognition great need back form app lock unauthorized usageoverall great phone amazing price miss chance buy even feel heavy wallet wont get good phone loaded feature else whereits like device benchmark future model go phone,no
excellent deal offered amazon k bank discountbest device every aspectgood camera battery backup excellent look elegantfeels premium handand one think said though p display display excellent qualitythere panicked itand also played p video youtubeso go itthis best budget device price pointthank amazon,no
bought g k performing much faster smoother experience device battery life average app switching lightning fast,no
love,no
phone always like dream phone purchased diwali sale k r previous phone moved xr regrates,no
thank amazon got device xr gb black variant big billion day sale,no
top end model device xr price k extremely satisfied android user yr first upgrade device battery standby next impossible smart phone day face id fabone dis covet half face bike riding doesnt recognise,no
good phone go want device experience truth told miss finger print sensor updating io performance face id head become significantly faster,no
nothing dislike phone forgot android using superior classu feel hold dont sad face gb ram better gb android facelock recognize dark finger print scanner still issue,no
first got great price maximum k nothing phone,no
previously user device se wonderstruck ability due battery life look changeover however looking price little suspicious whether phone would worth money pro n con,no
first device year android user review using phone month performance top notch battery life good considering day moderate heavy usage still find battery next day camera good time miss secondary lens portrait portrait dont work object,no
writing review using phone day upgraded phone device phone really good worth buy good sale gb around k,no
using apple last year never change apple phone frequently using device last year due less space batter backup need upgrade choose apple device applexs apple x hardware bionic chipset gb ram give phone high speed top gb space thrilled whole experience new apple xr still missed center button especially play game camera output amazing especially back camera also would like appreciate battery backup hardly change one time hour need battery back always along rofl,no
best decision took give away samsung galaxy get phone skeptical first considering paper spec obvious inferior display used retail store didnt mind display one drawback could live getting everything much better android side price range,no
device good dont fingerprint reader faceid password,no
device xr performs better spec showed paper xr,no
reasonably good product apple ecosystem dont want splurge,no
look great behaves well camera quite good resolution excellent battery life thank god got rid android phone finally,no
gifted wife phone birthday thanks amazon fast delivery maintaining quality standard,no
device xr bionic chip gb ram fast st device impressed performance processing power fast device easy use fit hand well,no
first device im happy performance xr hdfc credit card discount exchange old phone costed k front rear camera quality great battery last whole day normal use face recognition better oneplus xrs almost hd display give tough competition major fhd phone side side wont able spot difference display crisp eye strain io buttery smooth xr value money x x,no
best mobile compare apple mobile,no
awesome cellphone ever usedi switched androidop ioswhich believeit cannot compared o marketcoming device really awesome battery average use last dayi play gamei mostly spend time twitter appsthe worst thing find charging rate really sucksit take appx hour full juice camera bestnot good samsung series note series bestface recognition work like charm,no
apple comment quality user experience fabulous purchase got k worth enjoying,no
got device xr gb awesome deal r thanks amazon,no
need say anything phone bomb bought product red gb varient let tell sexier appears picture camera quality really good portrait awesome even though single lens bezzel look bit wide compared x x max upgrading device plus lower wont find different liquid display really nice wide range color displayed really well got independence day sale rsk definitely great deal definitely recommended,no
review device probably one could afford totally worth,no
best value money get device marginal improvement compared device xr performance almost par device ran almost year touch feel get device unparalleled phonei used platform,no
bought device xr screen camera issue screen freezing amazon custome r care talk like mistake gud behaviour called amazon asked go apple storealready visited apple support got information battery already replaced imie numberi told agreethey saying go therewe cant replace itwe requested also said paid dont agreeso buying pn issue phone even would damaged going replace itand seller selling refurbish product,no
great phone best ux class offense android calculator need permission access contact,no
sure whether genuine product bought first day amazon sale within day got vertical line middle display see photo bought apple device past never problem far since return window close within day take apple service center seriously make thing originality product,no
good phone great screen size apple still fixed low light shooting still look like crap compared oppo samsung one series incredible end paying much device still doesnt get camera right battery life good downside replacement phono jack headphone lightning socket operates charger headphone mean one thing,no
got device xr gb white phone feel lucky get discount mrp addition discount credit card also instantaneous cashback special day total paisavasool,no
got discount additional value phone exchange,no
feel like got robbed apple bought day launching device price phone reduced drastic drop bionic chip good smooth battery performance bad doesnt even fingerprint sensor face detection wont work angle need stop buying apple product,no
device great phone really impressed amazon recieved phone less hr checked warranty coverage apple website everything right place turn unnecesarily hesitant purchase phone online also got one year screen insurance free addition heavy discount,no
review one month use,no
pathetic experience phone bought k worth price assembled china lot many issue battery feature better buy store assembled india cheaper better quality check learnt hard way never electronics amazon,no
hot product k big billion sale product super camera freak back camera front camera good front camera night vision enough battery life good potrait mode photo also good without dual back camera,no
gonna lie transferring icloud stuff phone got heated point switch start,no
best camera feel security,no
th apple product usual apple work fine easily last upto year battery awesome last u full working day heavy useage,no
second device rd apple product clearly say first time user apple product surely give device xr star rating long run user think twice give even star also may demise steve job apple compromised quality till comparison phone device product giving strong comparison apple encashing name good future apple day consumer aware giving star device probably dealt wring product sorry completely happy xr may think next time upgrading phone,no
best battery life device,no
awesome experience camera performance battery life great totally worth every penny spent,no
got bad product amazon really expected amazon dont know whether issue apple amazon day come started giving issuesissues related hardware like distorted sound ie person cannot listen voice clearly voice becomes like mute software issue like phone getting hanged never heard io hanging able unlock phone moreover able recieve call first time user device got sort bad experience never thought never expectedi really disappointed productalso think battery life improved camera quality face reader ok,no
thanks amazon putting sale k wonderful phone price battery life perfect heavy user although double camera would made perfect,no
honestly speaking love apple product due simple design fluid user experience product fan black got product red part amount go hiv research,no
phone awesome screen really good bright cant really make difference screen amoled screen compared side side cant really say difference,no
note fingerprint reader phone please consider review face id,no
received faulty set take service centre within month replace new phone,no
good purchase sale like moved xr make bulky hand get use battery backup good love photo clicked protrait mode,no
good phone st time user io liked lot although compromise made phone like inferior display big bezel nd notch cleary visible annoying battery life top notch although supplied watt charger trash using ipad charger charge fast camera give dslr quality pic daylight nd outdoors night photo average total good package try apple ecosystem,no
purchased phone amazon freedom sale got effective price k first device honestly regretting bit worried spec lcd screen camera quality disappoint one camera xr time better three camera samsung lcd screen hardly make difference crystal clear vibrant battery life beautiful stand hour single charge overall good buy apple never great spec always kill,no
phone getting power,no
fabulous product im sure everyone know quality one thing mention regarding battery definitely expecting better battery life normal mode merely giving day normal usage mode however low power mode giving great battery life without compromising regular feature phone,no
experience iphones never bad time device xr phone started hanging first month yet month already hanging expect apple gadget everything else good battery life camera little heavy heat started hanging,no
since lot month waiting buy device xr great indian sale expected bought mobile huge price drop thanks amazon thati ordered saturday noon pm got product next day early morning super fast delivery amazon,no
first device excited close month still saying new device,no
dont understand would anyone use phone device god please forgive ignorance know missing,no
device excellent bt want device complete billin box cant receive bill,no
waited long time get mobile,no
want return u accepting bad experiance amazon really paying huge amount giving bad quality product,no
product awesome brought sep issue currently running io phone fast also esim major plus point face recognition good without hassle battery good enough take day half phone bought apple tv released received annual subscription free product st nov,no
pls pls dont buy amazon site buy store got defected xr face id working heating issue amazon also replacing,no
third device must say time apple introduces device improve lot model device xr one best selling device year cheap still standout crowd expensive device x still feature top model difference oled screen live recently introduced device xr one difference price feature exactly best battery backup ever device must say soothing flawless io camera average much improved compared previous generation glass frame back front appealing eye overall satisfactory experience device must buy considering device low budget,no
fingerprint reader given one star coz face id work lightning fast even dark super build quality battery backup nut work day decent use camera quality amazing photography videography preferred product device x screen quality main thing notice doesnt matter dont watch k video youtube,no
using device year using android transition bit difficult used different function happy product bulky assumed vibrant colour smooth functioning delivery also quick,no
look,no
display u get use bad better expensive android phone dont buy display priority,no
face recognition fingerprint think phone good screen could little smaller however day big screen phone launched let wait future,no
heyaa purchased device couple week back day experience device first ever device im super excited buy thishere go quick review brief entire phone spec,no
year device never faced lag hang battery started draining faster obviously year heavy usage,no
sad say amazone allow seller sell damage device sitei purchase device xr receiving found speaker goodvibration problem camera quality badi contacted amazone customer care refuse amazone customer told everything look device carei went told submit phonethey r exchanging sameits feel like using nd hand phonereally disappointed,no
good back apple io,no
first device also read review phone made convinced buy particular product modelthough color yellow choiceactually wanted buy device read review phone got convinced bcoz sometimes really difficult decide best thing guy whosoever want buy device xr plz go beautiful phone latest feature picture quality screen touch face recognitionbattery life every thing perfectand trust u wont regret,no
great deal got gb version,no
pro,no
sebought applei techie like se,no
received phone phone operation fine till next day showed sim sims tried phone always displayed sim installed never worked first time bad experience amazon upset today handed phone xr gb authorised service centre kolkata response positive give feedback day time,no
fantastic apple phone price range,no
genuine good phone esim facility working may check service provider well,no
name apple defines everything awesome phone delivery time thanks amazon,no
good battery life attractive design amazon offered great discount went little heavy thats ok overall nice product,no
delivered day thanks amazon prime,no
best device coming device xr blown mind away pro n con phone,no
phone working phone autotyping eventually frozen screen bought th oct barely used day support amazon replacement defective piece one thing note received piece locked bag however qr code bag delivery boy scan code bag delivery center sent qr code whatsapp phone,no
indeed great phone month usage say following,no
thank u amazon letting hv phone k everything phone exceptional change battery excellent camera good dual sim capability phone sure winner phone dual camera k higher didnt make sense buy device,no
io failed attempt apple phone doesnt smooth wifi network connectivity worse phone half cost absolute disappointment even older phone like dont show network issue device xr issue apple support clueless cant solve issue disappointed apple product else good phone connectivity important thing phone atrocious avoid u,no
im happy apple product except call record didnt find app suit io xr store rest everything work well,no
everything xr work extremely well problem faced kind manufacturing defect camera lensthe photo shot black spot kind smokyits visible something bright like sky white wall shotalsoive wiped camera glass many time camera inside lensguysphone quite good careful purchasing happen anyone,no
using device xr week impressed purchase phone met expectation fact,no
great battery life device,no
pro good screen resolution camera quality battery back good good screen size,no
bit skeptical buying amazon happy sayno regret purchase work exactly advertised absolutely issue great battery life nice photo variant latest device oled screen one lcd screen dont think making difference screen quality excellent overall satisfied purchase,no
first time io user shifted android io finally,no
reviewing device month usage,no
battery life hour heating muchamazon se na kharide phone sayed discount ke naam pe refurbished phone dete haindevice heating problem samanya nahi hainmera phone change kardo amazonwale,no
nice phone got r discountwith cost emi amazon icici credit card red beautiful battery back good last one day case performance quality finish awesome got update io amazon super fast delivery hr phone covered innovative tamper proof packaging code otp provided sm delivery code matched code packaging,no
there fingerprint sensor device x seriesface lock work good even dark display good fully visible outdoors nice battery backup dual sim make awsome ie one e sim normal one may pay nominal fee esim operator currently jio airtel support esimso please consider,no
received product slight scratch camera edge easily noticeable,no
st device liked difficulty find didnt get much variety case cover model use hand handle phone size skin purchased sell r k nov prefer volume key right hand side music aux cable top make mobile easy handle operate,no
purchased mobile gift son started rd oct found function mobile working disapointment could return showing option return period valid could return,no
bought product red device xr great indian amazon sale exchange year old device got gb version k,no
best value money apple device right got device xr k steal price totally worth apple fanboy use oneplus along device softare smoothness unmatchable camera great brand value superb main con slow charger take almost hr complete charge display also good flataccurate colour like saturated one quality nice closer full hd panel k best apple device get display main priority oneplus better overall device along fast charging price range,no
checked imei apple got phone genuine,no
hi purchased phone th sep prime member got product th sep created apple pas word since morning next day product received today st oct single day even completing hour getting hang took time almost hour unlock device even though able unlock screen,no
using phone month used plus phone definitely big big upgrade former model brilliant every possible way two main concern earlier iphones battery life secondary sim card im happy finally apple heard u released beast might wonder thick bezel lcd display phone bet dont notice get along phone wonder xr best selling smartphone worldwide battery life excellent enough review go wont regret point time,no
superb smartphone price range bought k pro day back wanted get device got early prime member sale amazing price everything perfect except camera show yellowish picture everytime rest battery screen performance needed didnt let thanks amazon apple timely delivery best product,no
everything awesome except battery,no
seem genuine product phone go completely silent many time restart seller genuine better go seller offline,no
really super experiencesimply best qualitysince eyrs used android feeling io device qualitybefore used samsung splus bought k awailable k mean k worth product sold kso final openion shift io device xr value money,no
best battery life amongst current iphoneslightning fast current processorspecs almost par device xsxs maxexcept camera display allexcellent pricevalue equation,no
purchase amazon festive sale great one buy price also amazing,no
im regular amazon buyer many year nowgot first device xr delivered sorry inform stopped working amazon delivered apple phone trusted brand worlddont know whose fault isi contacted apple authorised service centre ie icare mobile bangaloreand im waiting replymy trust amazon affected,no
